ID,RECON_id,CNS_name,CS_number,A_B,objects,LHS,RA_hr,RA_min,RA_sec,DEC_degrees,DEC_min,DEC_sec,DEC_ref,ProperMo_arcsec_year,ProperMo_direction_degree,ProperMo_ref,trig_par,trig_par2,trig_par_ref,spectral_type,spectral_type2,spectral_type_ref,V_magnitude,Mv_abds_mag,mass_est,notes1,notes2,notes3,common_name
61,42,LH,S 288,,1,288,10,44,21.2,-61,12,36,*,1.643,347.7,*,0.2097,0.00265,*Y,M5.5,V,*,13.92,15.53,0.11,,,,Henry et al. 2006
62,43,GJ,412,A,2,38,11,5,28.6,43,31,36,H,4.511,282.1,H,0.20567,0.00093,YH,M1.0,V,*,8.77,10.34,0.48,,,,
63,43,GJ,412,B,-,39,11,5,30.4,43,31,18,H,4.531,281.9,N,0.20567,0.00093,,M5.5,V,*,14.44,16.01,0.1,separ,at,"ion 28""",WX Ursae Majoris
64,44,GJ,380,,1,280,10,11,22.1,49,27,15,H,1.452,249.7,H,0.20553,0.00049,YH,K7.0,V,*,6.59,8.15,0.64,,,,
65,45,GJ,388,,1,5167,10,19,36.4,19,52,10,N,0.506,264,N,0.2046,0.0028,Y,M2.5,V,*,9.29,10.87,0.39,,,,
66,46,GJ,832,,1+1P,3685,21,33,34,-49,0,32,H,0.819,183.2,H,0.20203,0.001,YH,M1.5,V,*,8.66,10.19,0.5,,,,
67,47,LP,944-020,,1,,3,39,35.2,-35,25,41,N,0.439,47.6,N,0.2014,0.00421,T,M9.0,V,*,18.69,20.21,0.07,,,,
68,48,DE,N 0255-4,700,1,,2,55,3.7,-47,0,52,*,1.149,119.5,*,0.20137,0.00389,*,L7.5,V,*,22.92,24.44,0.05,,,,Costa et al. 2005
69,49,GJ,166,A,3,23,4,15,16.3,-7,39,10,H,4.088,213.2,H,0.20065,0.00023,YH,K0.5,V,G,4.43,5.94,0.89,,,,omicron 2 Eridani
70,49,GJ,166,B,-,24,4,15,22,-7,39,35,H,4.073,212.4,N,0.20065,0.00023,,DA4,,N,9.52,11.03,0.5,separ,at,"ion 83""",
71,49,GJ,166,C,-,25,4,15,22,-7,39,35,,4.073,212.4,,0.20065,0.00023,,M4.0,V,*,11.24,12.75,0.18,orbit,7,"""",
72,50,GJ,873,,1,3853,22,46,49.7,44,20,2,H,0.841,236.9,H,0.19821,0.00084,YHG,M3.5,V,*,10.22,11.71,0.28,,,,EV Lacertae
73,51,GJ,682,,1,451,17,37,3.7,-44,19,9,H,1.176,217.1,H,0.19809,0.00206,YH,M4.0,V,*,10.95,12.43,0.2,,,,
74,52,GJ,702,A,2,458,18,5,27.3,2,30,0,H,0.971,172.6,H,0.19596,0.00087,YS,K0.0,V,G,4.21,5.67,0.92,,,,70 Ophiuchi A
75,52,GJ,702,B,-,459,18,5,27.3,2,30,0,,0.971,172.6,,0.19596,0.00087,,K5,V,N,6.01,7.47,0.7,orbit,5,"""",70 Ophiuchi B
76,53,GJ,768,,1,3490,19,50,47,8,52,6,H,0.661,54.3,H,0.1954,0.00046,YHG,A7 I,V-V,N,0.77,2.22,1.71,,,,Altair
77,54,GJ,1116,A,2,2076,8,58,14.9,19,45,43,N,0.874,267.7,N,0.1912,0.0025,Y,M5.5,VJ,*,14.06,15.46,0.11,,,,EI Cancri
78,54,GJ,1116,B,-,2077,8,58,14.9,19,45,49,N,0.874,267.7,,0.1912,0.0025,,M,V,-,14.92,16.32,0.1,separ,at,"ion < 2""",
79,55,G,099-049,,1,,6,0,3.5,2,42,24,*,0.313,97.5,*,0.19077,0.00186,*Y,M3.5,V,*,11.31,12.71,0.19,,,,Henry et al. 2006
80,56,LH,S 1723,,1,1723,5,1,57.4,-6,56,47,*,0.769,226.9,*,0.18792,0.00126,*,M4.0,V,*,12.22,13.59,0.15,,,,Henry et al. 2006
81,57,2M,A 0939-2,448,1,,9,39,35.5,-24,48,28,M,1.192,151.2,T,0.1873,0.0046,T,T8.0,V,,,,0.03,,,,Burgasser et al. 2008
82,58,GJ,445,,1,2459,11,47,41.4,78,41,28,H,0.885,57.1,H,0.18726,0.00164,YH,M3.5,V,*,10.79,12.15,0.24,,,,
